index,feel,look,name,smell,taste
1025,"{'medium': 44, 'feel': 39, 'carbonation': 39}","{'dark': 49, 'brown': 49, 'pours': 26}","Ettaler Curator Dunkler Doppelbock (US Import Version)","{'malt': 69, 'sweet': 65, 'dark': 61}","{'malt': 37, 'flavor': 34, 'sweet': 29}"
1026,"{'medium': 10, 'malt': 9, 'carbonation': 9}","{'brown': 15, 'dark': 12, 'look': 6}","St. Martin Dunkler Doppelbock","{'malt': 22, 'caramel': 18, 'dark': 12}","{'malt': 10, 'like': 9, 'caramel': 8}"
1027,"{'medium': 22, 'carbonation': 21, 'light': 18}","{'white': 27, 'golden': 27, 'clear': 19}",Helles,"{'malt': 44, 'light': 26, 'sweet': 24}","{'malt': 23, 'sweet': 16, 'hop': 13}"
1028,"{'medium': 37, 'carbonation': 29, 'light': 29}","{'brown': 40, 'dark': 34, 'clear': 25}","Weltenburger Kloster Barock Dunkel","{'malt': 71, 'nose': 43, 'caramel': 40}","{'malt': 42, 'sweet': 25, 'caramel': 22}"
1029,"{'nice': 2, 'creamy': 2, 'though': 2}","{'amber': 3, 'pours': 2, 'white': 2}","Amarsi Double IPA","{'nose': 5, 'orange': 3, 'mango': 3}","{'malt': 5, 'sweet': 3, 'hop': 3}"
1030,"{'carbonation': 6, 'medium': 5, 'crisp': 3}","{'murky': 4, 'look': 4, 'good': 4}","Faust Hefeweizen Dunkel","{'banana': 8, 'clove': 7, 'malt': 5}","{'good': 6, 'banana': 4, 'style': 4}"
1031,"{'medium': 13, 'carbonation': 11, 'full': 10}","{'brown': 12, 'dark': 9, 'pours': 8}",Bonator,"{'sweet': 17, 'nose': 14, 'dark': 13}","{'caramel': 9, 'malt': 8, 'sweet': 8}"
1032,"{'malt': 4, 'body': 4, 'feel': 4}","{'hazy': 6, 'orange': 5, 'amber': 5}","Backbone Splitter","{'mango': 6, 'fruit': 4, 'pine': 4}","{'hop': 3, 'tasting': 2, 'much': 2}"
1033,"{'light': 7, 'smoke': 5, 'medium': 5}","{'white': 8, 'pours': 7, 'lacing': 7}","Aecht Schlenkerla Kräusen","{'smoke': 12, 'light': 10, 'nose': 8}","{'smoke': 7, 'malt': 6, 'light': 5}"
1034,"{'carbonation': 231, 'feel': 230, 'medium': 229}","{'amber': 279, 'pours': 201, 'brown': 192}","Salvator Doppel Bock","{'malt': 466, 'sweet': 409, 'caramel': 404}","{'malt': 347, 'sweet': 322, 'caramel': 238}"
1035,"{'feel': 6, 'light': 6, 'dark': 5}","{'dark': 10, 'light': 9, 'little': 8}","Kyritzer Mord Und Totschlag","{'malt': 10, 'chocolate': 10, 'roasted': 8}","{'chocolate': 6, 'malt': 6, 'amount': 4}"
1036,"{'well': 3, 'light': 3, 'carbonation': 3}","{'look': 2, 'moderate': 2, 'golden': 2}","Geisterzug Gose Quinced","{'apple': 5, 'quince': 5, 'note': 5}","{'quince': 6, 'like': 4, 'mild': 3}"
1037,"{'light': 46, 'carbonation': 37, 'feel': 34}","{'clear': 45, 'white': 42, 'golden': 34}","Weihenstephaner Pils","{'malt': 63, 'hop': 55, 'nose': 46}","{'malt': 50, 'hop': 40, 'light': 29}"
1038,"{'carbonation': 10, 'medium': 8, 'malt': 6}","{'clear': 8, 'malt': 8, 'light': 7}","Original Schlüssel Alt","{'malt': 16, 'hop': 13, 'nose': 11}","{'hop': 8, 'malt': 7, 'bitterness': 7}"
1039,"{'medium': 89, 'carbonation': 74, 'feel': 73}","{'brown': 115, 'dark': 90, 'pours': 72}","Aecht Schlenkerla Rauchbier Weizen","{'smoke': 186, 'smoked': 146, 'like': 95}","{'smoke': 125, 'smoked': 80, 'like': 77}"
1040,"{'light': 119, 'carbonation': 82, 'medium': 64}","{'white': 117, 'yellow': 104, 'light': 99}","Ayinger Jahrhundert Bier","{'malt': 171, 'hop': 130, 'nose': 115}","{'malt': 120, 'hop': 92, 'light': 73}"
1041,"{'medium': 23, 'feel': 18, 'light': 18}","{'brown': 34, 'dark': 23, 'pours': 14}","Andechs Weissbier Dunkel","{'banana': 56, 'malt': 30, 'caramel': 28}","{'banana': 25, 'malt': 23, 'caramel': 19}"
1042,"{'medium': 8, 'feel': 6, 'carbonation': 5}","{'medium': 5, 'white': 4, 'cloudy': 4}","Riegele Augustus Weizendoppelbock","{'banana': 11, 'clove': 10, 'nose': 8}","{'malt': 3, 'banana': 3, 'spice': 3}"
1043,"{'carbonation': 112, 'medium': 110, 'light': 94}","{'brown': 141, 'dark': 124, 'pours': 93}","Ayinger Altbairisch Dunkel","{'malt': 256, 'caramel': 170, 'nose': 135}","{'malt': 178, 'sweet': 94, 'caramel': 83}"
1044,"{'medium': 171, 'carbonation': 141, 'feel': 120}","{'amber': 236, 'clear': 155, 'white': 151}","Hacker-Pschorr Oktoberfest Märzen","{'malt': 371, 'caramel': 241, 'sweet': 205}","{'malt': 242, 'sweet': 168, 'caramel': 137}"
1045,"{'carbonation': 4, 'medium': 3, 'would': 3}","{'poured': 2, 'brown': 2, 'stein': 1}","Methusalem Sour Altbier","{'nose': 5, 'chocolate': 4, 'malt': 3}","{'sour': 4, 'fruit': 4, 'dark': 4}"
1046,"{'feel': 5, 'banana': 4, 'creamy': 4}","{'orange': 11, 'white': 7, 'golden': 6}","Augustiner Bräu Weissbier","{'banana': 19, 'clove': 11, 'nose': 8}","{'wheat': 9, 'malt': 5, 'good': 5}"
1047,"{'medium': 53, 'carbonation': 40, 'light': 29}","{'brown': 35, 'copper': 29, 'pours': 26}",Altbier,"{'malt': 67, 'caramel': 54, 'nose': 54}","{'malt': 50, 'hop': 33, 'caramel': 31}"
1048,"{'carbonation': 8, 'good': 5, 'medium': 4}","{'light': 6, 'black': 5, 'tan': 5}","Roundhouse Kick","{'dark': 11, 'chocolate': 10, 'malt': 9}","{'chocolate': 8, 'note': 7, 'roasted': 7}"
1049,"{'light': 113, 'carbonation': 88, 'medium': 71}","{'white': 113, 'clear': 96, 'golden': 94}","Aecht Schlenkerla Helles Lagerbier","{'smoke': 179, 'malt': 156, 'nose': 92}","{'smoke': 94, 'malt': 92, 'light': 61}"
1050,"{'carbonation': 6, 'light': 4, 'full': 4}","{'dark': 10, 'brown': 7, 'pours': 6}","Spezial Rauchbier Märzen","{'malt': 8, 'nose': 6, 'sweet': 6}","{'smoked': 7, 'sweet': 6, 'malt': 6}"
1051,"{'medium': 37, 'carbonation': 37, 'feel': 35}","{'orange': 37, 'hazy': 36, 'white': 36}","Kellerbier Ungespundet-Lager hefetrüb (aU Ungespundet Naturtrüb)","{'malt': 67, 'nose': 47, 'hop': 39}","{'malt': 47, 'hop': 29, 'finish': 23}"
1052,"{'medium': 44, 'carbonation': 42, 'smooth': 37}","{'brown': 68, 'dark': 51, 'pours': 41}","Hacker-Pschorr Dunkel Weisse (Weisse Dark)","{'banana': 95, 'clove': 79, 'malt': 76}","{'malt': 54, 'wheat': 54, 'banana': 53}"
1053,"{'carbonation': 188, 'feel': 138, 'medium': 138}","{'amber': 141, 'dark': 133, 'white': 115}","Schneider Weisse Tap 7 Unser Original","{'banana': 434, 'clove': 339, 'wheat': 179}","{'banana': 230, 'clove': 156, 'wheat': 124}"
1054,"{'feel': 92, 'alcohol': 71, 'carbonation': 69}","{'amber': 90, 'clear': 86, 'copper': 76}","EKU 28","{'alcohol': 167, 'sweet': 159, 'malt': 145}","{'sweet': 133, 'alcohol': 124, 'malt': 97}"
1055,"{'carbonation': 6, 'medium': 5, 'creamy': 4}","{'medium': 8, 'golden': 6, 'pours': 5}","Ayinger Maibock","{'sweet': 8, 'malt': 6, 'nose': 6}","{'sweet': 6, 'sweetness': 4, 'malt': 4}"
1056,"{'light': 70, 'carbonation': 53, 'feel': 51}","{'cloudy': 72, 'golden': 59, 'white': 56}","Julius Echter Hefe-Weissbier Hell","{'banana': 174, 'clove': 133, 'wheat': 80}","{'banana': 75, 'clove': 59, 'wheat': 56}"
1057,"{'light': 30, 'feel': 27, 'carbonation': 20}","{'white': 25, 'hazy': 19, 'pours': 16}","Döllnitzer Ritterguts Gose","{'nose': 26, 'wheat': 25, 'lemon': 24}","{'tart': 31, 'salt': 20, 'lemon': 19}"
1058,"{'feel': 4, 'palate': 3, 'carbonation': 3}","{'white': 5, 'pours': 4, 'hazy': 4}","Geisterzug Gose Rhubarb","{'rhubarb': 7, 'nose': 6, 'sweet': 5}","{'sour': 5, 'rhubarb': 5, 'salt': 4}"
1059,"{'light': 29, 'medium': 19, 'crisp': 14}","{'clear': 20, 'white': 20, 'golden': 15}","Andechser Vollbier Hell","{'malt': 23, 'hop': 22, 'nose': 22}","{'hop': 15, 'malt': 14, 'sweet': 11}"
1060,"{'medium': 9, 'light': 7, 'finish': 7}","{'l': 7, 'copper': 7, 'medium': 5}","Schumacher Alt","{'malt': 8, 'hop': 8, 'nose': 6}","{'alt': 5, 'bit': 5, 'malt': 5}"
1061,"{'feel': 6, 'light': 6, 'easy': 5}","{'golden': 5, 'light': 5, 'white': 4}","Mühlen Kölsch","{'malt': 7, 'nose': 5, 'light': 5}","{'aroma': 4, 'note': 4, 'hint': 3}"
1062,"{'carbonation': 51, 'light': 42, 'medium': 40}","{'white': 58, 'golden': 50, 'hazy': 49}","Kapuziner Weissbier","{'banana': 142, 'clove': 112, 'wheat': 68}","{'banana': 67, 'clove': 48, 'wheat': 46}"
1063,"{'medium': 6, 'carbonation': 5, 'easy': 4}","{'copper': 9, 'clear': 7, 'medium': 7}","Füchschen Alt","{'nose': 11, 'hop': 10, 'malt': 9}","{'malt': 12, 'caramel': 6, 'bit': 4}"
1064,"{'medium': 226, 'carbonation': 209, 'light': 176}","{'amber': 249, 'white': 219, 'pours': 203}","Ayinger Oktober Fest-Märzen","{'malt': 451, 'sweet': 285, 'caramel': 278}","{'malt': 268, 'sweet': 206, 'caramel': 181}"
1065,"{'medium': 21, 'carbonation': 17, 'bodied': 11}","{'brown': 16, 'dark': 14, 'pours': 13}","Schneider Weisse Tap X Aventinus Cuvée Barrique","{'wine': 20, 'nose': 18, 'sour': 16}","{'tart': 13, 'oak': 12, 'wine': 11}"
1066,"{'medium': 78, 'feel': 69, 'carbonation': 69}","{'dark': 114, 'brown': 95, 'black': 58}","Mönchshof Schwarzbier","{'malt': 165, 'roasted': 119, 'nose': 95}","{'malt': 104, 'roasted': 75, 'chocolate': 63}"
1067,"{'carbonation': 11, 'medium': 11, 'easy': 9}","{'clear': 13, 'white': 12, 'yellow': 9}","Bairisch Pils","{'nose': 18, 'hop': 13, 'malt': 12}","{'hop': 8, 'malt': 6, 'grassy': 5}"
1068,"{'medium': 36, 'carbonation': 34, 'light': 27}","{'white': 40, 'hazy': 36, 'pours': 35}","Weihenstephaner 1516 Kellerbier","{'malt': 47, 'nose': 45, 'hop': 45}","{'malt': 28, 'hop': 23, 'flavor': 21}"
1069,"{'light': 37, 'carbonation': 29, 'feel': 23}","{'clear': 38, 'white': 27, 'golden': 27}","Rothaus Pils Tannen Zäpfle","{'malt': 59, 'hop': 56, 'nose': 34}","{'malt': 33, 'hop': 26, 'bitterness': 24}"
1070,"{'light': 211, 'carbonation': 191, 'feel': 160}","{'clear': 283, 'white': 206, 'golden': 170}","Weihenstephaner Kristallweissbier","{'banana': 463, 'clove': 290, 'wheat': 211}","{'banana': 233, 'clove': 148, 'wheat': 134}"
1071,"{'carbonation': 262, 'medium': 198, 'smooth': 195}","{'cloudy': 279, 'orange': 241, 'white': 223}","Paulaner Hefe-Weissbier Naturtrüb","{'banana': 616, 'clove': 436, 'wheat': 329}","{'banana': 375, 'wheat': 261, 'clove': 229}"
1072,"{'carbonation': 311, 'feel': 237, 'light': 234}","{'cloudy': 382, 'golden': 297, 'white': 260}","Franziskaner Hefe-Weisse","{'banana': 792, 'clove': 521, 'wheat': 401}","{'banana': 470, 'wheat': 291, 'clove': 255}"
1073,"{'medium': 61, 'carbonation': 61, 'smooth': 52}","{'brown': 60, 'pours': 55, 'amber': 49}","Uerige Sticke","{'malt': 150, 'caramel': 111, 'hop': 90}","{'malt': 76, 'hop': 49, 'caramel': 48}"
1074,"{'medium': 37, 'feel': 33, 'carbonation': 33}","{'white': 27, 'hazy': 24, 'pours': 18}","Schneider Weisse Tap X Mein Nelson Sauvin","{'banana': 50, 'clove': 37, 'nose': 32}","{'banana': 26, 'wheat': 23, 'hop': 20}"
1075,"{'medium': 105, 'carbonation': 96, 'feel': 79}","{'amber': 91, 'pours': 69, 'white': 65}","Aecht Schlenkerla Eiche","{'smoke': 214, 'smoked': 148, 'malt': 124}","{'smoke': 107, 'malt': 77, 'sweet': 65}"
1076,"{'feel': 8, 'light': 8, 'smooth': 5}","{'white': 7, 'glass': 7, 'orange': 6}","Mönchsambacher Lager","{'malt': 11, 'hop': 9, 'light': 8}","{'malt': 5, 'hop': 5, 'like': 5}"
1077,"{'smooth': 31, 'feel': 29, 'full': 23}","{'brown': 58, 'dark': 45, 'pours': 23}","Tucher Bajuvator Doppelbock","{'malt': 81, 'nose': 63, 'sweet': 58}","{'sweet': 45, 'malt': 34, 'caramel': 31}"
1078,"{'carbonation': 116, 'medium': 103, 'feel': 98}","{'white': 101, 'cloudy': 95, 'pours': 93}","Schneider Weisse Tap 4 Wiesen Edel-Weisse","{'banana': 291, 'clove': 261, 'nose': 138}","{'banana': 142, 'clove': 124, 'wheat': 87}"
1079,"{'carbonation': 124, 'medium': 100, 'feel': 92}","{'pours': 111, 'white': 104, 'cloudy': 92}","Ayinger Ur-Weisse","{'banana': 335, 'clove': 227, 'nose': 143}","{'banana': 174, 'clove': 103, 'flavor': 92}"
1080,"{'carbonation': 136, 'medium': 113, 'feel': 107}","{'orange': 153, 'cloudy': 138, 'white': 132}","Hacker-Pschorr Hefe Weisse Naturtrüb","{'banana': 338, 'clove': 255, 'wheat': 193}","{'banana': 180, 'wheat': 139, 'clove': 112}"
1081,"{'medium': 55, 'carbonation': 49, 'feel': 48}","{'brown': 93, 'dark': 91, 'deep': 46}","Weltenburger Kloster Asam-Bock","{'malt': 129, 'dark': 105, 'caramel': 80}","{'malt': 84, 'sweet': 67, 'dark': 50}"
1082,"{'light': 249, 'carbonation': 179, 'feel': 135}","{'white': 254, 'clear': 227, 'golden': 212}","Weihenstephaner Original","{'malt': 298, 'hop': 258, 'nose': 207}","{'malt': 203, 'hop': 164, 'sweet': 121}"
1083,"{'light': 166, 'carbonation': 124, 'feel': 77}","{'white': 136, 'yellow': 123, 'pours': 120}",1809,"{'lemon': 192, 'wheat': 169, 'nose': 142}","{'tart': 118, 'sour': 110, 'lemon': 110}"
1084,"{'medium': 249, 'carbonation': 211, 'feel': 182}","{'dark': 283, 'brown': 271, 'pours': 132}","Aecht Schlenkerla Rauchbier Märzen","{'smoke': 441, 'smoked': 420, 'like': 336}","{'smoke': 275, 'smoked': 237, 'like': 216}"
1085,"{'carbonation': 143, 'medium': 131, 'feel': 130}","{'orange': 141, 'pours': 137, 'cloudy': 115}","Schneider Weisse Tap 5 Meine Hopfenweisse","{'hop': 300, 'banana': 265, 'nose': 210}","{'hop': 184, 'wheat': 109, 'banana': 107}"
1086,"{'carbonation': 82, 'feel': 76, 'medium': 63}","{'brown': 117, 'dark': 95, 'pours': 68}","Uerige Doppelsticke","{'malt': 167, 'caramel': 136, 'sweet': 122}","{'malt': 85, 'sweet': 83, 'dark': 69}"
1087,"{'carbonation': 116, 'medium': 84, 'full': 82}","{'dark': 163, 'brown': 149, 'pours': 82}",Eisbock,"{'dark': 236, 'malt': 218, 'fruit': 187}","{'sweet': 135, 'malt': 133, 'dark': 93}"
1088,"{'medium': 45, 'feel': 39, 'carbonation': 29}","{'white': 38, 'hazy': 36, 'orange': 31}","Weihenstephaner / Sierra Nevada - Braupakt","{'banana': 90, 'clove': 68, 'nose': 46}","{'banana': 42, 'clove': 28, 'wheat': 24}"
1089,"{'light': 37, 'medium': 36, 'carbonation': 32}","{'white': 43, 'pours': 33, 'yellow': 31}","Andechser Weissbier Hell","{'banana': 106, 'clove': 77, 'wheat': 55}","{'banana': 39, 'clove': 33, 'wheat': 30}"
1090,"{'carbonation': 27, 'feel': 22, 'medium': 15}","{'white': 26, 'pours': 17, 'golden': 15}","Schneider Weisse Tap 1 Mein Blondes","{'banana': 67, 'clove': 52, 'wheat': 34}","{'banana': 33, 'wheat': 24, 'clove': 23}"
1091,"{'light': 25, 'carbonation': 17, 'feel': 15}","{'golden': 25, 'white': 20, 'pours': 19}","Augustiner Bräu Lagerbier Hell","{'hop': 35, 'malt': 29, 'light': 29}","{'malt': 25, 'hop': 20, 'light': 16}"
1092,"{'medium': 178, 'carbonation': 135, 'feel': 112}","{'brown': 196, 'dark': 179, 'pours': 98}","Aecht Schlenkerla Rauchbier Urbock","{'smoke': 278, 'smoked': 269, 'like': 220}","{'smoke': 176, 'malt': 146, 'like': 126}"
1093,"{'carbonation': 200, 'light': 177, 'feel': 164}","{'white': 204, 'yellow': 196, 'cloudy': 193}","Ayinger Bräuweisse","{'banana': 455, 'clove': 335, 'wheat': 207}","{'banana': 261, 'clove': 182, 'wheat': 148}"
1094,"{'carbonation': 244, 'medium': 219, 'feel': 198}","{'brown': 383, 'dark': 371, 'pours': 189}","Weihenstephaner Korbinian","{'malt': 466, 'sweet': 332, 'dark': 318}","{'malt': 281, 'sweet': 246, 'dark': 172}"
1095,"{'medium': 50, 'carbonation': 39, 'feel': 37}","{'brown': 44, 'dark': 31, 'light': 29}","Aecht Schlenkerla Fastenbier","{'smoke': 81, 'malt': 59, 'smoked': 54}","{'malt': 39, 'smoke': 38, 'flavor': 31}"
1096,"{'carbonation': 241, 'medium': 195, 'feel': 187}","{'brown': 316, 'pours': 173, 'white': 158}","Weihenstephaner Hefeweissbier Dunkel","{'banana': 594, 'clove': 384, 'malt': 268}","{'banana': 321, 'malt': 190, 'clove': 190}"
1097,"{'carbonation': 218, 'feel': 215, 'alcohol': 213}","{'brown': 319, 'dark': 302, 'pours': 153}","Schneider Aventinus Weizen-Eisbock","{'alcohol': 349, 'dark': 331, 'banana': 325}","{'alcohol': 286, 'sweet': 207, 'fruit': 168}"
1098,"{'carbonation': 298, 'medium': 262, 'feel': 230}","{'white': 284, 'hazy': 258, 'golden': 241}","Weihenstephaner Vitus","{'banana': 709, 'clove': 489, 'nose': 304}","{'banana': 366, 'clove': 218, 'wheat': 192}"
1099,"{'carbonation': 99, 'medium': 98, 'feel': 92}","{'brown': 129, 'dark': 102, 'pours': 73}","Andechser Doppelbock Dunkel","{'caramel': 152, 'malt': 149, 'dark': 143}","{'malt': 100, 'sweet': 87, 'caramel': 86}"
1100,"{'carbonation': 467, 'medium': 377, 'feel': 373}","{'brown': 642, 'dark': 441, 'pours': 307}","Schneider Weisse Tap 6 Unser Aventinus","{'banana': 769, 'clove': 620, 'nose': 491}","{'banana': 381, 'sweet': 317, 'clove': 317}"
1101,"{'carbonation': 428, 'smooth': 428, 'feel': 373}","{'dark': 755, 'brown': 605, 'pours': 305}",Celebrator,"{'malt': 896, 'dark': 673, 'sweet': 567}","{'malt': 526, 'sweet': 410, 'dark': 358}"
1102,"{'carbonation': 524, 'light': 402, 'feel': 377}","{'white': 526, 'golden': 497, 'cloudy': 449}","Weihenstephaner Hefeweissbier","{'banana': 1275, 'clove': 899, 'wheat': 615}","{'banana': 767, 'clove': 493, 'wheat': 443}"
1103,"{'thick': 23, 'feel': 22, 'cinnamon': 21}","{'black': 31, 'dark': 18, 'look': 14}","Barrel-Aged Abraxas","{'cinnamon': 74, 'chocolate': 57, 'nose': 49}","{'cinnamon': 42, 'chocolate': 27, 'like': 20}"
1104,"{'thick': 81, 'vanilla': 58, 'feel': 45}","{'black': 84, 'dark': 55, 'pours': 35}","Marshmallow Handjee","{'vanilla': 229, 'chocolate': 93, 'bourbon': 88}","{'vanilla': 132, 'sweet': 55, 'chocolate': 54}"
1105,"{'feel': 411, 'medium': 370, 'hop': 353}","{'look': 443, 'orange': 364, 'hazy': 335}","Heady Topper","{'hop': 791, 'nose': 635, 'citrus': 597}","{'hop': 487, 'citrus': 255, 'like': 204}"
1106,"{'feel': 65, 'medium': 43, 'creamy': 28}","{'orange': 78, 'hazy': 47, 'white': 42}",Doppelganger,"{'citrus': 60, 'nose': 55, 'orange': 52}","{'tropical': 28, 'citrus': 27, 'fruit': 27}"
1107,"{'medium': 45, 'carbonation': 41, 'feel': 35}","{'white': 49, 'orange': 45, 'hazy': 38}","Society & Solitude #4","{'citrus': 68, 'nose': 60, 'tropical': 53}","{'citrus': 34, 'hop': 29, 'orange': 26}"
1108,"{'feel': 32, 'thick': 30, 'carbonation': 21}","{'black': 33, 'dark': 23, 'look': 16}","Hunahpu's Imperial Stout - Double Barrel Aged","{'chocolate': 46, 'nose': 45, 'brandy': 44}","{'chocolate': 29, 'cinnamon': 22, 'vanilla': 22}"
1109,"{'carbonation': 105, 'feel': 78, 'medium': 56}","{'brown': 137, 'dark': 114, 'pours': 87}","Fourth Dementia - Bourbon Barrel-Aged","{'bourbon': 223, 'nose': 179, 'caramel': 148}","{'bourbon': 116, 'caramel': 76, 'sweet': 58}"
1110,"{'sour': 159, 'carbonation': 140, 'light': 100}","{'pours': 131, 'golden': 130, 'white': 116}",Beatification,"{'sour': 185, 'nose': 153, 'funk': 135}","{'sour': 199, 'lemon': 93, 'tart': 72}"
1111,"{'medium': 38, 'feel': 34, 'carbonation': 28}","{'white': 49, 'hazy': 41, 'orange': 37}","Society & Solitude #5","{'grapefruit': 65, 'nose': 53, 'citrus': 51}","{'grapefruit': 42, 'hop': 30, 'citrus': 29}"
1112,"{'feel': 10, 'creamy': 7, 'medium': 7}","{'orange': 10, 'yellow': 9, 'white': 9}","Ghost In The Machine - Double Dry-Hopped","{'nose': 14, 'citrus': 9, 'juicy': 9}","{'juicy': 8, 'citrus': 6, 'mango': 5}"
1113,"{'feel': 17, 'cinnamon': 8, 'full': 8}","{'dark': 12, 'black': 8, 'pours': 5}","Mexican Brunch","{'coffee': 31, 'cinnamon': 21, 'chocolate': 18}","{'coffee': 14, 'cinnamon': 11, 'flavor': 5}"
1114,"{'feel': 7, 'light': 5, 'nice': 4}","{'look': 11, 'yellow': 8, 'orange': 8}","Miami Madness","{'fruit': 35, 'guava': 17, 'passion': 17}","{'fruit': 17, 'guava': 13, 'passion': 12}"
1115,"{'feel': 29, 'smooth': 13, 'thick': 12}","{'black': 24, 'dark': 17, 'brown': 15}","Last Buffalo In The Park","{'coconut': 89, 'bourbon': 43, 'chocolate': 40}","{'coconut': 54, 'bourbon': 22, 'coffee': 21}"
1116,"{'feel': 7, 'full': 4, 'barrel': 3}","{'maple': 6, 'thick': 5, 'coconut': 5}","It Was All A Dream","{'maple': 7, 'coconut': 6, 'chocolate': 4}","{'thick': 2, 'liquid': 2, 'bounty': 2}"
1117,"{'feel': 17, 'medium': 16, 'carbonation': 11}","{'orange': 17, 'white': 17, 'pours': 16}","Notorious Triple IPA","{'hop': 32, 'nose': 30, 'citrus': 27}","{'hop': 15, 'citrus': 13, 'fruit': 13}"
1118,"{'feel': 92, 'carbonation': 78, 'bourbon': 63}","{'black': 114, 'dark': 87, 'pours': 56}","Bourbon Barrel Aged Plead The 5th","{'bourbon': 279, 'chocolate': 211, 'vanilla': 158}","{'bourbon': 137, 'chocolate': 132, 'vanilla': 75}"
1119,"{'feel': 22, 'cinnamon': 15, 'carbonation': 14}","{'dark': 35, 'brown': 32, 'look': 21}","Coffee Cinnamon B-Bomb","{'cinnamon': 61, 'coffee': 59, 'bourbon': 37}","{'cinnamon': 37, 'coffee': 28, 'bourbon': 18}"
1120,"{'maple': 15, 'thick': 12, 'carbonation': 11}","{'black': 17, 'dark': 15, 'brown': 9}","Beyond Good And Evil","{'maple': 36, 'bourbon': 30, 'nose': 20}","{'maple': 29, 'bourbon': 17, 'sweet': 14}"
1121,"{'feel': 176, 'carbonation': 175, 'medium': 152}","{'dark': 270, 'brown': 243, 'pours': 159}",§ucaba,"{'bourbon': 391, 'vanilla': 351, 'nose': 333}","{'bourbon': 224, 'vanilla': 177, 'caramel': 164}"
1122,"{'feel': 147, 'carbonation': 102, 'thick': 89}","{'dark': 194, 'brown': 171, 'pours': 98}","Bourbon County Brand Barleywine Ale","{'bourbon': 295, 'nose': 191, 'vanilla': 189}","{'bourbon': 160, 'dark': 109, 'sweet': 106}"
1123,"{'feel': 25, 'thick': 17, 'cognac': 13}","{'brown': 26, 'look': 22, 'dark': 19}","A Deal With The Devil","{'nose': 42, 'caramel': 33, 'cognac': 30}","{'sweet': 21, 'caramel': 16, 'tasting': 15}"
1124,"{'feel': 34, 'medium': 25, 'carbonation': 16}","{'hazy': 38, 'orange': 35, 'white': 32}","Pseudo Sue - Double Dry-Hopped","{'citrus': 53, 'nose': 48, 'fruit': 35}","{'citrus': 22, 'fruit': 19, 'like': 17}"
1125,"{'thick': 18, 'feel': 17, 'bourbon': 12}","{'black': 23, 'pours': 11, 'look': 8}","Black Gold","{'nose': 38, 'bourbon': 38, 'chocolate': 34}","{'bourbon': 28, 'vanilla': 18, 'chocolate': 18}"
1126,"{'feel': 17, 'medium': 16, 'coffee': 12}","{'black': 14, 'dark': 14, 'brown': 10}","Sunday Brunch","{'coffee': 55, 'cinnamon': 50, 'maple': 35}","{'maple': 22, 'cinnamon': 22, 'coffee': 20}"
1127,"{'feel': 19, 'apricot': 16, 'light': 16}","{'white': 19, 'orange': 18, 'hazy': 14}","West Ashley","{'apricot': 57, 'funk': 43, 'nose': 36}","{'apricot': 35, 'sour': 18, 'tart': 18}"
1128,"{'feel': 764, 'coffee': 719, 'smooth': 644}","{'black': 1004, 'dark': 658, 'brown': 501}","Breakfast Stout","{'coffee': 3241, 'chocolate': 2198, 'roasted': 996}","{'coffee': 2103, 'chocolate': 1448, 'dark': 572}"
1129,"{'feel': 11, 'finish': 9, 'light': 8}","{'golden': 13, 'white': 12, 'yellow': 9}","Saison Du Fermier","{'nose': 18, 'funk': 13, 'lemon': 13}","{'citrus': 7, 'tart': 6, 'lemon': 6}"
1130,"{'medium': 7, 'feel': 5, 'sour': 4}","{'golden': 5, 'hazy': 4, 'white': 4}","The Broken Truck","{'funk': 8, 'oak': 6, 'nose': 6}","{'like': 8, 'apple': 4, 'tartness': 4}"
1131,"{'feel': 78, 'medium': 50, 'carbonation': 38}","{'orange': 81, 'hazy': 55, 'look': 53}","Alter Ego","{'citrus': 86, 'nose': 81, 'orange': 66}","{'citrus': 38, 'like': 35, 'fruit': 32}"
1132,"{'feel': 10, 'light': 8, 'sour': 4}","{'white': 5, 'orange': 4, 'apricot': 3}","Abricot Du Fermier","{'apricot': 20, 'funk': 10, 'nose': 10}","{'apricot': 13, 'sour': 8, 'tart': 5}"
1133,"{'feel': 13, 'light': 7, 'carbonation': 6}","{'pours': 9, 'look': 7, 'light': 6}","Flora Plum","{'plum': 22, 'nose': 17, 'fruit': 9}","{'plum': 10, 'tartness': 4, 'finish': 4}"
1134,"{'medium': 35, 'feel': 33, 'carbonation': 25}","{'orange': 49, 'hazy': 37, 'look': 33}","Galaxy Dry Hopped Fort Point Pale Ale","{'nose': 63, 'fruit': 58, 'tropical': 54}","{'fruit': 26, 'citrus': 23, 'hop': 22}"
1135,"{'feel': 5, 'flavor': 4, 'coating': 3}","{'dark': 4, 'brown': 4, 'pours': 3}",V.S.O.J.,"{'bourbon': 10, 'caramel': 6, 'oak': 5}","{'caramel': 5, 'dark': 3, 'raisin': 3}"
1136,"{'feel': 16, 'full': 9, 'thick': 8}","{'black': 12, 'brown': 7, 'dark': 7}","Bourbon Paradise","{'coconut': 41, 'vanilla': 39, 'bourbon': 38}","{'vanilla': 21, 'bourbon': 21, 'coconut': 19}"
